key,x,y,downstream
r654,210224.92,162923.64,r655
r655,210157.09,162912.25,r665
r656,209313.68,163090.15,Outlet
r657,209403.24,163045.97,r656
r658,209490.44,163002.24,r657
r659,209581.35,162960.85,r658
r660,209662.74,162910.86,r659
r661,209731.24,162838.97,r660
r662,209801.84,162769.81,r661
r663,209898.71,162765.72,r662
r664,209991.85,162802.06,r663
r665,210078.06,162851.0,r664
r676,210906.35,162411.08,r677
r677,210822.71,162401.12,r682
r678,210547.83,162676.24,r679
r679,210488.51,162756.74,r685
r680,210607.27,162595.83,r678
r681,210666.67,162515.38,r680
r682,210737.41,162445.33,r681
r683,210257.34,162924.64,r654
r684,210348.77,162896.29,r683
r685,210428.64,162836.77,r684
